question,state,year,applies to,response,citations,cautions
Does the state require firearm training in order to carry concealed guns in public?,AL,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,AK,1991,All,N/A,,
Does the state require firearm training in order to carry concealed guns in public?,AZ,1991,All,N/A,,
Does the state require firearm training in order to carry concealed guns in public?,AR,1991,All,N/A,,
Does the state require firearm training in order to carry concealed guns in public?,CA,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,CO,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,CT,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,DE,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,FL,1991,All,Yes,Fla. Stat. § 790.06,
Does the state require firearm training in order to carry concealed guns in public?,GA,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,HI,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,ID,1991,All,No,,"The requirement to have a permit to carry a concealed weapon in public does not apply to any person who is outside the limits of or confines of any city and who is outside any mining, lumbering, logging or railroad camp, located outside any city.;<br> The sheriff may require the applicant to demonstrate familiarity with a firearm by completing a training course according to Idaho Code § 18-3302(13)."
Does the state require firearm training in order to carry concealed guns in public?,IL,1991,All,N/A,,
Does the state require firearm training in order to carry concealed guns in public?,IN,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,IA,1991,All,Yes,Iowa Code § 724.11;<br> Iowa Code § 724.9,
Does the state require firearm training in order to carry concealed guns in public?,KS,1991,All,N/A,,
Does the state require firearm training in order to carry concealed guns in public?,KY,1991,All,N/A,,
Does the state require firearm training in order to carry concealed guns in public?,LA,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,ME,1991,All,Yes,Me. Rev. Stat. tit. 25 § 2001. Threatening display of or carrying concealed weapon;<br> Me. Rev. Stat. tit. 25 § 2003(E)(5),Demonstrates to the issuing authority a knowledge of handgun safety.
Does the state require firearm training in order to carry concealed guns in public?,MD,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,MA,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,MI,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,MN,1991,All,Yes,Minn. Stat. § 624.714(Subd. 1);<br> Minn. Stat. § 624.714,
Does the state require firearm training in order to carry concealed guns in public?,MS,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,MO,1991,All,N/A,,
Does the state require firearm training in order to carry concealed guns in public?,MT,1991,All,Yes,Mont. Code § 45-8-316; Mont. Code § 45-8-317;<br> Mont. Code § 45-8-321(3),"The requirement that a person have a permit to carry does not apply to a person who is outside the official boundaries of a city or town or the confines of a logging, lumbering, mining, or railroad camp or who is lawfully engaged in hunting, fishing, trapping, camping, hiking, backpacking, farming, ranching, or other outdoor activity in which weapons are often carried for recreation or protection."
Does the state require firearm training in order to carry concealed guns in public?,NE,1991,All,N/A,,
Does the state require firearm training in order to carry concealed guns in public?,NV,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,NH,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,NJ,1991,All,Yes,N.J. Stat. § 2C:58-4;<br> N.J. Stat. § 2C:58-4; N.J. Admin. Code § 13:54-2.4,
Does the state require firearm training in order to carry concealed guns in public?,NM,1991,All,N/A,,"The carrying of a concealed loaded firearm was prohibited in public, except by peace officers, until July 1, 2001. Concealed handgun permit holders were allowed to carry concealed handguns in public starting July 1, 2001, but the Department of Public Safety was not authorized to begin issuing permits until January 1, 2004."
Does the state require firearm training in order to carry concealed guns in public?,NY,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,NC,1991,All,N/A,,
Does the state require firearm training in order to carry concealed guns in public?,ND,1991,All,Yes,N.D. Cent. Code § 62.1-04-02;<br> N.D. Cent. Code § 62.1-04-03,
Does the state require firearm training in order to carry concealed guns in public?,OH,1991,All,N/A,,
Does the state require firearm training in order to carry concealed guns in public?,OK,1991,All,N/A,,
Does the state require firearm training in order to carry concealed guns in public?,OR,1991,All,Yes,Or. Rev. Stat. § 166.291,
Does the state require firearm training in order to carry concealed guns in public?,PA,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,RI,1991,All,Yes,R.I. Gen. Laws § 11-47-8;<br> R.I. Gen. Laws § 11-47-15,
Does the state require firearm training in order to carry concealed guns in public?,SC,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,SD,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,TN,1991,All,Yes,Tenn. Code § 39-17-1315(b),
Does the state require firearm training in order to carry concealed guns in public?,TX,1991,All,N/A,,
Does the state require firearm training in order to carry concealed guns in public?,UT,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,VT,1991,All,No,,Vermont does not issue a concealed carry permit and does not require a permit for a person to carry a concealed firearm in public.
Does the state require firearm training in order to carry concealed guns in public?,VA,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,WA,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,DC,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,WV,1991,All,Yes,W. Va. Code § 61-7-3;<br> W. Va. Code § 61-7-4,
Does the state require firearm training in order to carry concealed guns in public?,WI,1991,All,N/A,,
Does the state require firearm training in order to carry concealed guns in public?,WY,1991,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,AL,1992,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,AK,1992,All,N/A,,
Does the state require firearm training in order to carry concealed guns in public?,AZ,1992,All,N/A,,
Does the state require firearm training in order to carry concealed guns in public?,AR,1992,All,N/A,,
Does the state require firearm training in order to carry concealed guns in public?,CA,1992,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,CO,1992,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,CT,1992,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,DE,1992,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,FL,1992,All,Yes,Fla. Stat. § 790.06,
Does the state require firearm training in order to carry concealed guns in public?,GA,1992,All,No,,
Does the state require firearm training in order to carry concealed guns in public?,HI,1992,All,No,,
