question,state,year,applies to,response,citations,cautions
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,AL,1991,Long gun possession,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,AL,1991,initial,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,AK,1991,Handgun possession,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,AK,1991,Long gun possession,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,AZ,1991,All,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,AR,1991,All,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,CA,1991,All,Yes,Cal. Penal Code § 12021(c),"A person is prohibited from possessing a firearm for a misdemeanor conviction for assault under Cal. Penal Code § 241, battery under Cal. Penal Code § 243, and assault with a deadly weapon under Cal. Penal Code § 245."
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,CO,1991,All,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,CT,1991,Handgun possession,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,CT,1991,Long gun possession,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,DE,1991,All,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,FL,1991,All,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,GA,1991,All,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,HI,1991,Possession,Yes,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,HI,1991,Purchase,Yes,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,ID,1991,All,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,IL,1991,All,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,IN,1991,All,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,IA,1991,All,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,KS,1991,All,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,KY,1991,All,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,LA,1991,All,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,ME,1991,All,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,MD,1991,Handgun possession,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,MD,1991,Long gun possession,No,,
Does state law prohibit people who have been convicted of domestic violence misdemeanors from having firearms?,MA,1991,Handgun possession,No,,
